_time,container_name,namespace,node_name,pod_name,cpu_usage_core_nanoseconds,cpu_usage_nanocores,logsfs_available_bytes,logsfs_capacity_bytes,logsfs_used_bytes,memory_major_page_faults,memory_page_faults,memory_rss_bytes,memory_usage_bytes,memory_working_set_bytes,rootfs_available_bytes,rootfs_capacity_bytes,rootfs_used_bytes
2025-08-04 06:00:18+00:00,kube-multus,kube-system,neuronet-w2,kube-multus-ds-gkgcv,32296574000.0,0.0,23309656064.0,62241562624.0,8192.0,0.0,1500.0,1032192.0,34357248.0,2625536.0,23309656064.0,62241562624.0,77824.0
2025-08-04 06:00:18+00:00,kube-multus,kube-system,neuronet-w3,kube-multus-ds-hkxbx,33282965000.0,0.0,29420187648.0,62241562624.0,8192.0,0.0,1436.0,1138688.0,46632960.0,22634496.0,29420187648.0,62241562624.0,77824.0
2025-08-04 06:00:18+00:00,kube-prometheus-stack,optimiter,neuronet-w1,prometheus-kube-prometheus-operator-746596dc67-bglqm,8155121913000.0,3455479.0,20176318464.0,62241562624.0,3276800.0,0.0,2808599.0,28004352.0,28815360.0,28815360.0,20176318464.0,62241562624.0,40960.0
2025-08-04 06:00:18+00:00,kube-proxy,kube-system,neuronet-m1,kube-proxy-zk9zk,9303924292000.0,633692.0,51660533760.0,62241562624.0,778240.0,637.0,74359600.0,16375808.0,34689024.0,28729344.0,51660533760.0,62241562624.0,65536.0
2025-08-04 06:00:18+00:00,kube-proxy,kube-system,neuronet-m2,kube-proxy-p85vq,13475950692000.0,1046961.0,52589903872.0,62241562624.0,782336.0,488.0,81347993.0,17006592.0,33996800.0,25341952.0,52589903872.0,62241562624.0,65536.0
2025-08-04 06:00:18+00:00,kube-proxy,kube-system,neuronet-m3,kube-proxy-xrrqt,12147869141000.0,448161.0,47973613568.0,62241562624.0,823296.0,1287.0,81502680.0,16572416.0,30093312.0,22593536.0,47973613568.0,62241562624.0,65536.0
2025-08-04 06:00:18+00:00,kube-proxy,kube-system,neuronet-w1,kube-proxy-pdf6t,10801151153000.0,1561838.0,20176318464.0,62241562624.0,790528.0,37.0,81348188.0,16760832.0,20353024.0,20213760.0,20176318464.0,62241562624.0,65536.0
2025-08-04 06:00:18+00:00,kube-proxy,kube-system,neuronet-w3,kube-proxy-2kphj,12659666443000.0,2087781.0,29420187648.0,62241562624.0,847872.0,25.0,81182311.0,16904192.0,19517440.0,19382272.0,29420187648.0,62241562624.0,65536.0
2025-08-04 06:00:18+00:00,ml-pipeline-scheduledworkflow,kubeflow,neuronet-w1,ml-pipeline-scheduledworkflow-694f6ffffc-wbq4d,2587708181000.0,1173997.0,20176318464.0,62241562624.0,1003520.0,0.0,67648.0,10711040.0,11386880.0,11386880.0,20176318464.0,62241562624.0,24576.0
2025-08-04 06:00:18+00:00,ml-pipeline-ui,kubeflow,neuronet-w1,ml-pipeline-ui-5688b96cbd-99pnn,73318751844000.0,13330278.0,20176318464.0,62241562624.0,18911232.0,0.0,1055624453.0,64892928.0,72679424.0,55971840.0,20176318464.0,62241562624.0,28672.0
2025-08-04 06:00:18+00:00,ml-pipeline-ui-artifact,kubeflow-user-example-com,neuronet-w2,ml-pipeline-ui-artifact-5594cc565-l65zj,7329283000.0,0.0,23309656064.0,62241562624.0,77824.0,0.0,59109.0,56643584.0,64086016.0,47357952.0,23309656064.0,62241562624.0,24576.0
2025-08-04 06:00:18+00:00,ovs-cni-marker,cluster-network-addons,neuronet-m1,ovs-cni-amd64-8h9vl,96705876000.0,183361.0,51660533760.0,62241562624.0,4096.0,13.0,1148972.0,5636096.0,7045120.0,7045120.0,51660533760.0,62241562624.0,40960.0
2025-08-04 06:00:18+00:00,ovs-cni-marker,cluster-network-addons,neuronet-m2,ovs-cni-amd64-d2sx2,147537922000.0,6850980.0,52589903872.0,62241562624.0,8192.0,1.0,1235236.0,5652480.0,6500352.0,6500352.0,52589903872.0,62241562624.0,40960.0
2025-08-04 06:00:18+00:00,ovs-cni-marker,cluster-network-addons,neuronet-m3,ovs-cni-amd64-k7vzc,113074660000.0,161051.0,47973613568.0,62241562624.0,8192.0,1.0,1184163.0,5599232.0,6385664.0,6385664.0,47973613568.0,62241562624.0,40960.0
2025-08-04 06:00:18+00:00,ovs-cni-marker,cluster-network-addons,neuronet-w1,ovs-cni-amd64-j5b6c,0.0,0.0,20176318464.0,62241562624.0,12288.0,0.0,0.0,0.0,0.0,0.0,20176318464.0,62241562624.0,40960.0
2025-08-04 06:00:18+00:00,ovs-cni-marker,cluster-network-addons,neuronet-w2,ovs-cni-amd64-jtqj9,112974011000.0,2303825.0,23309656064.0,62241562624.0,4096.0,0.0,1187919.0,5644288.0,6365184.0,6365184.0,23309656064.0,62241562624.0,40960.0
