,result,table,_start,_stop,_time,_value,_field,_measurement,inventory-cluster-id,inventory-rack-id,inventory-server-id,node_fqdn,plugin,status,vm_id,vm_name
,_result,5,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:05:06Z,395448320,mem_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,5,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:06:07Z,414285824,mem_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,5,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:07:07Z,411160576,mem_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,5,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:08:08Z,326488064,mem_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,5,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:09:04Z,330780672,mem_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,6,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:00:05Z,4294967296,mem_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,6,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:01:04Z,4294967296,mem_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,6,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:02:04Z,4294967296,mem_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,6,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:03:07Z,4294967296,mem_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,6,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:04:05Z,4294967296,mem_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,6,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:05:06Z,4294967296,mem_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,6,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:06:07Z,4294967296,mem_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,6,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:07:07Z,4294967296,mem_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,6,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:08:08Z,4294967296,mem_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
