_time,inventory-server-id,vm_id,cpuload,disk_free,disk_total,disk_used,disk_used_percentage,mem_free,mem_total,mem_used,mem_used_percentage,swap_free,swap_total,swap_used,swap_used_percentage,uptime,disk_free_gb,disk_total_gb,disk_used_gb,disk_usage_percent
2025-08-04 06:15:51+00:00,flux-node5,303,0.128996586609788,34359738368.0,34359738368.0,0.0,0.0,1212444672.0,4294967296.0,3082522624.0,71.77057266235352,0.0,0.0,0.0,0.0,2665402.0,32.0,32.0,0.0,0.0
2025-08-04 06:15:51+00:00,flux-node5,304,0.203456550019291,34359738368.0,34359738368.0,0.0,0.0,373022720.0,4294967296.0,3921944576.0,91.31488800048828,0.0,0.0,0.0,0.0,2665257.0,32.0,32.0,0.0,0.0
2025-08-04 06:15:52+00:00,flux-node5,181,0.334347843886581,64424509440.0,64424509440.0,0.0,0.0,600485888.0,4294967296.0,3694481408.0,86.01884841918945,0.0,0.0,0.0,0.0,6965583.0,60.0,60.0,0.0,0.0
2025-08-04 06:15:53+00:00,flux-node5,183,0.511941461013212,64424509440.0,64424509440.0,0.0,0.0,1929388032.0,34359738368.0,32430350336.0,94.38474178314208,0.0,0.0,0.0,0.0,6965556.0,60.0,60.0,0.0,0.0
2025-08-04 06:15:53+00:00,flux-node5,184,0.264725069426912,64424509440.0,64424509440.0,0.0,0.0,2014777344.0,34359738368.0,32344961024.0,94.13622617721558,0.0,0.0,0.0,0.0,6965542.0,60.0,60.0,0.0,0.0
2025-08-04 06:15:54+00:00,flux-node1,300,0.343457995412868,34359738368.0,34359738368.0,0.0,0.0,426037248.0,4294967296.0,3868930048.0,90.08054733276369,0.0,0.0,0.0,0.0,2707792.0,32.0,32.0,0.0,0.0
2025-08-04 06:15:54+00:00,flux-node1,301,0.250832562477403,34359738368.0,34359738368.0,0.0,0.0,427991040.0,4294967296.0,3866976256.0,90.0350570678711,0.0,0.0,0.0,0.0,2707619.0,32.0,32.0,0.0,0.0
2025-08-04 06:15:54+00:00,flux-node5,305,0.0810245324647917,34359738368.0,34359738368.0,0.0,0.0,580456448.0,4294967296.0,3714510848.0,86.48519515991211,0.0,0.0,0.0,0.0,2665242.0,32.0,32.0,0.0,0.0
2025-08-04 06:15:55+00:00,flux-node1,302,0.256675479526206,34359738368.0,34359738368.0,0.0,0.0,471166976.0,4294967296.0,3823800320.0,89.02978897094727,0.0,0.0,0.0,0.0,2707598.0,32.0,32.0,0.0,0.0
2025-08-04 06:16:01+00:00,flux-node1,188,0.331923338129496,64424509440.0,64424509440.0,0.0,0.0,479617024.0,4294967296.0,3815350272.0,88.83304595947266,0.0,0.0,0.0,0.0,6965484.0,60.0,60.0,0.0,0.0
2025-08-04 06:16:01+00:00,flux-node5,303,0.0658060350648888,34359738368.0,34359738368.0,0.0,0.0,1202835456.0,4294967296.0,3092131840.0,71.99430465698242,0.0,0.0,0.0,0.0,2665412.0,32.0,32.0,0.0,0.0
2025-08-04 06:16:01+00:00,flux-node5,304,0.127291514339183,34359738368.0,34359738368.0,0.0,0.0,372776960.0,4294967296.0,3922190336.0,91.32061004638672,0.0,0.0,0.0,0.0,2665267.0,32.0,32.0,0.0,0.0
2025-08-04 06:16:02+00:00,flux-node5,181,0.346449870979591,64424509440.0,64424509440.0,0.0,0.0,598687744.0,4294967296.0,3696279552.0,86.06071472167969,0.0,0.0,0.0,0.0,6965594.0,60.0,60.0,0.0,0.0
2025-08-04 06:16:02+00:00,flux-node3,185,0.0063517426122427,34359738368.0,34359738368.0,0.0,0.0,274599936.0,2147483648.0,1872883712.0,87.21294403076172,0.0,0.0,0.0,0.0,6458876.0,32.0,32.0,0.0,0.0
2025-08-04 06:16:02+00:00,flux-node4,179,0.39488609263059,64424509440.0,64424509440.0,0.0,0.0,650129408.0,4294967296.0,3644837888.0,84.86299514770508,0.0,0.0,0.0,0.0,6008459.0,60.0,60.0,0.0,0.0
2025-08-04 06:16:03+00:00,flux-node3,306,0.0105307632166062,34359738368.0,34359738368.0,0.0,0.0,362917888.0,2147483648.0,1784565760.0,83.1003189086914,0.0,0.0,0.0,0.0,2287600.0,32.0,32.0,0.0,0.0
2025-08-04 06:16:03+00:00,flux-node4,182,0.299209839695563,64424509440.0,64424509440.0,0.0,0.0,1725898752.0,34359738368.0,32633839616.0,94.97697353363036,0.0,0.0,0.0,0.0,2663283.0,60.0,60.0,0.0,0.0
2025-08-04 06:16:03+00:00,flux-node5,184,0.288060869844442,64424509440.0,64424509440.0,0.0,0.0,2018926592.0,34359738368.0,32340811776.0,94.12415027618408,0.0,0.0,0.0,0.0,6965552.0,60.0,60.0,0.0,0.0
2025-08-04 06:16:04+00:00,flux-node5,305,0.080972663150264,34359738368.0,34359738368.0,0.0,0.0,581234688.0,4294967296.0,3713732608.0,86.46707534790039,0.0,0.0,0.0,0.0,2665253.0,32.0,32.0,0.0,0.0
2025-08-04 06:16:04+00:00,flux-node1,300,0.0,34359738368.0,34359738368.0,0.0,0.0,420593664.0,4294967296.0,3874373632.0,90.20729064941406,0.0,0.0,0.0,0.0,2707802.0,32.0,32.0,0.0,0.0
2025-08-04 06:16:04+00:00,flux-node5,183,0.469656224110783,64424509440.0,64424509440.0,0.0,0.0,1927852032.0,34359738368.0,32431886336.0,94.38921213150024,0.0,0.0,0.0,0.0,6965567.0,60.0,60.0,0.0,0.0
2025-08-04 06:16:05+00:00,flux-node1,302,0.274501520201182,34359738368.0,34359738368.0,0.0,0.0,470908928.0,4294967296.0,3824058368.0,89.03579711914062,0.0,0.0,0.0,0.0,2707608.0,32.0,32.0,0.0,0.0
2025-08-04 06:16:05+00:00,flux-node1,301,0.265585101961964,34359738368.0,34359738368.0,0.0,0.0,428507136.0,4294967296.0,3866460160.0,90.02304077148438,0.0,0.0,0.0,0.0,2707630.0,32.0,32.0,0.0,0.0
2025-08-04 06:17:01+00:00,flux-node4,179,0.30091644523017,64424509440.0,64424509440.0,0.0,0.0,455208960.0,4294967296.0,3839758336.0,89.40134048461914,0.0,0.0,0.0,0.0,6008518.0,60.0,60.0,0.0,0.0
2025-08-04 06:17:01+00:00,flux-node5,183,0.513325790209484,64424509440.0,64424509440.0,0.0,0.0,1927622656.0,34359738368.0,32432115712.0,94.38987970352171,0.0,0.0,0.0,0.0,6965624.0,60.0,60.0,0.0,0.0
2025-08-04 06:17:01+00:00,flux-node5,184,0.374564625162599,64424509440.0,64424509440.0,0.0,0.0,2017738752.0,34359738368.0,32341999616.0,94.12760734558104,0.0,0.0,0.0,0.0,6965609.0,60.0,60.0,0.0,0.0
2025-08-04 06:17:02+00:00,flux-node3,306,0.0176749974645479,34359738368.0,34359738368.0,0.0,0.0,362917888.0,2147483648.0,1784565760.0,83.1003189086914,0.0,0.0,0.0,0.0,2287659.0,32.0,32.0,0.0,0.0
2025-08-04 06:17:02+00:00,flux-node4,182,0.296577999729792,64424509440.0,64424509440.0,0.0,0.0,1708589056.0,34359738368.0,32651149312.0,95.02735137939452,0.0,0.0,0.0,0.0,2663342.0,60.0,60.0,0.0,0.0
2025-08-04 06:17:02+00:00,flux-node5,304,0.10281185533605,34359738368.0,34359738368.0,0.0,0.0,378822656.0,4294967296.0,3916144640.0,91.17984771728516,0.0,0.0,0.0,0.0,2665328.0,32.0,32.0,0.0,0.0
2025-08-04 06:17:02+00:00,flux-node5,305,0.0778586782362529,34359738368.0,34359738368.0,0.0,0.0,581218304.0,4294967296.0,3713748992.0,86.46745681762695,0.0,0.0,0.0,0.0,2665310.0,32.0,32.0,0.0,0.0
2025-08-04 06:17:03+00:00,flux-node5,303,0.12547975667208,34359738368.0,34359738368.0,0.0,0.0,1215283200.0,4294967296.0,3079684096.0,71.70448303222656,0.0,0.0,0.0,0.0,2665473.0,32.0,32.0,0.0,0.0
2025-08-04 06:17:03+00:00,flux-node5,181,0.318709555362399,64424509440.0,64424509440.0,0.0,0.0,631619584.0,4294967296.0,3663347712.0,85.29396057128906,0.0,0.0,0.0,0.0,6965655.0,60.0,60.0,0.0,0.0
2025-08-04 06:17:03+00:00,flux-node3,185,0.0148228093213305,34359738368.0,34359738368.0,0.0,0.0,273129472.0,2147483648.0,1874354176.0,87.28141784667969,0.0,0.0,0.0,0.0,6458937.0,32.0,32.0,0.0,0.0
2025-08-04 06:17:03+00:00,flux-node1,302,0.0,34359738368.0,34359738368.0,0.0,0.0,477716480.0,4294967296.0,3817250816.0,88.8772964477539,0.0,0.0,0.0,0.0,2707666.0,32.0,32.0,0.0,0.0
2025-08-04 06:17:06+00:00,flux-node1,188,0.0,64424509440.0,64424509440.0,0.0,0.0,374427648.0,4294967296.0,3920539648.0,91.28217697143556,0.0,0.0,0.0,0.0,6965548.0,60.0,60.0,0.0,0.0
2025-08-04 06:17:07+00:00,flux-node1,300,0.346358798451121,34359738368.0,34359738368.0,0.0,0.0,420511744.0,4294967296.0,3874455552.0,90.20919799804688,0.0,0.0,0.0,0.0,2707865.0,32.0,32.0,0.0,0.0
2025-08-04 06:17:07+00:00,flux-node1,301,0.272512823245506,34359738368.0,34359738368.0,0.0,0.0,427171840.0,4294967296.0,3867795456.0,90.05413055419922,0.0,0.0,0.0,0.0,2707691.0,32.0,32.0,0.0,0.0
2025-08-04 06:18:01+00:00,flux-node4,182,0.311597830013959,64424509440.0,64424509440.0,0.0,0.0,1708855296.0,34359738368.0,32650883072.0,95.02657651901244,0.0,0.0,0.0,0.0,2663401.0,60.0,60.0,0.0,0.0
2025-08-04 06:18:02+00:00,flux-node3,306,0.0122973107318554,34359738368.0,34359738368.0,0.0,0.0,387203072.0,2147483648.0,1760280576.0,81.96945190429688,0.0,0.0,0.0,0.0,2287720.0,32.0,32.0,0.0,0.0
2025-08-04 06:18:03+00:00,flux-node5,304,0.176407139556694,34359738368.0,34359738368.0,0.0,0.0,524484608.0,4294967296.0,3770482688.0,87.78839111328125,0.0,0.0,0.0,0.0,2665390.0,32.0,32.0,0.0,0.0
2025-08-04 06:18:03+00:00,flux-node5,303,0.123838951800855,34359738368.0,34359738368.0,0.0,0.0,1200529408.0,4294967296.0,3094437888.0,72.0479965209961,0.0,0.0,0.0,0.0,2665533.0,32.0,32.0,0.0,0.0
2025-08-04 06:18:03+00:00,flux-node5,181,0.482684750540053,64424509440.0,64424509440.0,0.0,0.0,446238720.0,4294967296.0,3848728576.0,89.61019515991211,0.0,0.0,0.0,0.0,6965715.0,60.0,60.0,0.0,0.0
2025-08-04 06:18:03+00:00,flux-node4,179,0.403432505128987,64424509440.0,64424509440.0,0.0,0.0,454533120.0,4294967296.0,3840434176.0,89.41707611083984,0.0,0.0,0.0,0.0,6008580.0,60.0,60.0,0.0,0.0
2025-08-04 06:18:04+00:00,flux-node1,302,0.282872373946278,34359738368.0,34359738368.0,0.0,0.0,475074560.0,4294967296.0,3819892736.0,88.93880844116211,0.0,0.0,0.0,0.0,2707727.0,32.0,32.0,0.0,0.0
