_time,url,uuid,vm_id,vm_name,scaph_process_cpu_usage_percentage,scaph_process_disk_read_bytes,scaph_process_disk_total_read_bytes,scaph_process_disk_total_write_bytes,scaph_process_disk_write_bytes,scaph_process_memory_bytes,scaph_process_memory_virtual_bytes,scaph_process_power_consumption_microwatts
2025-08-04 06:10:02+00:00,http://flux-node5.av.it.pt:8080/metrics,a2852a33-8cf2-4621-90ea-85fd02bf17e5,184,neuronet-w3,3.5618174,0.0,85044025273.0,911820795904.0,1875968.0,34266873856.0,40054206464.0,2542099.0743124248
2025-08-04 06:10:02+00:00,http://flux-node5.av.it.pt:8080/metrics,8cdf92b6-d702-4a42-b43f-b973491c8942,303,neuronet-k8s-w1,1.6904805,20480.0,6872657482.0,95191949312.0,1855488.0,4132913152.0,9941901312.0,1206510.1457537126
2025-08-04 06:10:02+00:00,http://flux-node5.av.it.pt:8080/metrics,5a48f6ee-b6fa-4bbb-8fa7-64e34e000dde,305,neuronet-k8s-w3,1.0118022,0.0,5343444554.0,79106916352.0,294912.0,4233900032.0,9888460800.0,722131.7470184612
2025-08-04 06:10:02+00:00,http://flux-node5.av.it.pt:8080/metrics,50c53a25-5073-4302-bd3c-67f4de72d2a0,181,neuronet-m3,4.1497564,0.0,112275892151.0,1690201083904.0,11034624.0,4350345216.0,10437226496.0,2961716.106167508
2025-08-04 06:10:02+00:00,http://flux-node4.av.it.pt:8080/metrics,c5237c73-cef8-42c1-bc97-fe0982b9d219,179,neuronet-m1,5.0984054,0.0,7580810492.0,1248387014656.0,8888320.0,4241072128.0,9236901888.0,3180225.480277281
2025-08-04 06:10:02+00:00,http://flux-node4.av.it.pt:8080/metrics,d0963dbe-dc40-4955-906f-4435bf06ccee,182,neuronet-w1,3.8808053,0.0,1681846346.0,97594568704.0,1126400.0,33949200384.0,39684583424.0,2420724.692997651
2025-08-04 06:10:02+00:00,http://flux-node5.av.it.pt:8080/metrics,42f9eb09-924d-45d3-9ed1-2a64ceab82ef,304,neuronet-k8s-w2,2.8178818,0.0,5474020938.0,74102054912.0,622592.0,4294053888.0,9611620352.0,2011145.9833446168
2025-08-04 06:10:02+00:00,http://flux-node3.av.it.pt:8080/metrics,d73e81c0-f052-4b31-9811-0fe16434f778,306,neuronet-k8s-lb,0.07702402,0.0,2705370612.0,27447963648.0,4096.0,2143072256.0,7446151168.0,59382.68898356147
2025-08-04 06:10:02+00:00,http://flux-node3.av.it.pt:8080/metrics,a70cec07-8f49-4109-90fe-0262d766bb7b,185,neuronet-lb,0.12266789,0.0,14706027984.0,108413628416.0,499712.0,2157367296.0,7457615872.0,94572.43230541237
2025-08-04 06:11:02+00:00,http://flux-node5.av.it.pt:8080/metrics,8cdf92b6-d702-4a42-b43f-b973491c8942,303,neuronet-k8s-w1,1.8528342,0.0,6872657482.0,95193575424.0,1044480.0,4132913152.0,9941901312.0,1305934.2212398052
