_time,namespace_x,pod_name_x,container_name_x,node_name,inventory-cluster-id_x,inventory-rack-id,inventory-server-id_x,cpu_usage_core_nanoseconds,cpu_usage_nanocores,logsfs_available_bytes,logsfs_capacity_bytes,logsfs_used_bytes,memory_major_page_faults,memory_page_faults,memory_rss_bytes,memory_usage_bytes,memory_working_set_bytes,rootfs_available_bytes,rootfs_capacity_bytes,rootfs_used_bytes,pod_key,namespace_y,pod_name_y,container_name_y,inventory-cluster-id_y,inventory-server-id_y,kepler_container_joules_total,kepler_container_microwatts_consumption_total,inventory-cluster-id,inventory-server-id,node_fqdn,vm_id,vm_name,cpuload,disk_free,disk_total,disk_used,disk_used_percentage,mem_free,mem_total,mem_used,mem_used_percentage,status,swap_free,swap_total,swap_used,swap_used_percentage,uptime,placement,plugin,activePower,apparentPower,cumulatedEnergy,current,currentTHD,partialEnergy,peakFactor,powerFactor,reactivePower,latency_ms
2025-09-05 10:58:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,1413771073000,1792247448,22656491520,33104523264,39948288,0,9703895,82219008,86167552,86167552,22656491520,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node1,flux-node1.av.it.pt,301,neuronet-k8s-m2,0.328645491897659,34359738368,34359738368,0,0,543010816,4294967296,3751956480,87.3570442199707,running,0,0,0,0,5489406,right,pdu,71.187,67.983,164684.00782207,0.311,10.2,164684.00782207,1.601,0.989,-6.301,2465.05
2025-09-05 10:59:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,1527438659000,1896830803,22656978944,33104523264,38686720,0,10486731,86441984,91234304,91234304,22656978944,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node3,flux-node3.av.it.pt,185,neuronet-lb,0.0119092719497736,34359738368,34359738368,0,0,318402560,2147483648,1829081088,85.17322540283203,running,0,0,0,0,9240715,right,pdu,67.029,74.228,164685.00782212,0.294,12.3,164685.00782212,1.583,0.99,-6.237,2619.02
2025-09-05 11:00:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,1637758812000,1639097519,22661849088,33104523264,34283520,0,11361764,75730944,80236544,80236544,22661849088,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node4,flux-node4.av.it.pt,182,neuronet-w1,0.189224591035624,64424509440,64424509440,0,0,27693924352,34359738368,6665814016,19.40007209777832,running,0,0,0,0,5445181,left,pdu,84.875,92.64,208626.0099092,0.371,9.7,208626.0099092,1.618,0.995,-5.832,3134.12
2025-09-05 11:01:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,1702286515000,774352747,22658408448,33104523264,36130816,0,12212232,54345728,57192448,57192448,22658408448,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node1,flux-node1.av.it.pt,302,neuronet-k8s-m3,0.27984175815055,34359738368,34359738368,0,0,446816256,4294967296,3848151040,89.59674835205078,running,0,0,0,0,5489564,left,pdu,62.306,66.424,146381.00695272,0.275,14.7,146381.00695272,1.635,0.988,-7.458,1046.67
2025-09-05 11:02:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,1737991336000,1306467895,22656434176,33104523264,38100992,0,12717302,57909248,61067264,61067264,22656434176,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node3,flux-node3.av.it.pt,311,neuronet-5g-core,0.163729207279209,85899345920,85899345920,0,0,8930537472,17179869184,8249331712,48.01743030548096,running,0,0,0,0,1196665,left,pdu,56.036,62.214,146382.00695277,0.249,12.7,146382.00695277,1.585,0.986,-7.386,3443.08
2025-09-05 11:03:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,1857500521000,1823685906,22659796992,33104523264,34529280,0,13850399,88834048,93200384,93200384,22659796992,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node5,flux-node5.av.it.pt,305,neuronet-k8s-w3,0.147368154763996,34359738368,34359738368,0,0,2345115648,4294967296,1949851648,45.39852142333984,running,0,0,0,0,5447330,left,pdu,70.539,71.875,178213.00846466,0.312,15.1,178213.00846466,1.672,0.981,-7.621,2460.53
2025-09-05 11:04:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,1964090059000,1907818426,22659366912,33104523264,34377728,0,14569520,88453120,93368320,93368320,22659366912,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node4,flux-node4.av.it.pt,182,neuronet-w1,0.180158851111601,64424509440,64424509440,0,0,27708956672,34359738368,6650781696,19.356322288513184,running,0,0,0,0,5445420,left,pdu,92.302,100.03,208640.00990987,0.402,12.2,208632.00990949,1.556,0.992,-5.176,2886.19
2025-09-05 11:05:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,2083029893000,1545331431,22650875904,33104523264,30326784,0,15623669,65372160,69341184,69341184,22650875904,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node5,flux-node5.av.it.pt,303,neuronet-k8s-w1,0.153612353934714,34359738368,34359738368,0,0,809467904,4294967296,3485499392,81.15310668945312,running,0,0,0,0,5447612,left,pdu,63.542,65.001,146385.00695291,0.282,18.7,146385.00695291,1.658,0.977,-7.529,2432.21
2025-09-05 11:06:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,2141605408000,988226713,22659104768,33104523264,32256000,0,16392116,52465664,55672832,55672832,22659104768,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node1,flux-node1.av.it.pt,300,neuronet-k8s-m1,0.310103392214421,34359738368,34359738368,0,0,740311040,4294967296,3554656256,82.76329040527344,running,0,0,0,0,5490059,left,pdu,68.905,68.444,178216.00846481,0.306,17.0,178216.00846481,1.743,0.979,-7.665,1053.5
2025-09-05 11:07:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,2187509828000,1369279642,22657019904,33104523264,34172928,0,17004955,61026304,64176128,64176128,22657019904,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node3,flux-node3.av.it.pt,306,neuronet-k8s-lb,0.0135289224790258,34359738368,34359738368,0,0,410554368,2147483648,1736929280,80.88207244873047,running,0,0,0,0,5069918,left,pdu,61.324,61.483,146387.00695301,0.267,16.1,146386.00695296,1.663,0.981,-7.541,2367.73
