_time,container_name,namespace,pod_name,cpu_millicores,memory_usage_mb,logsfs_usage_percent,container_power_watts
2025-08-04 06:06:00+00:00,ovs-cni-marker,cluster-network-addons,ovs-cni-amd64-8h9vl,0.164961,6.65234375,6.580811643087838e-06,44.1729
2025-08-04 06:06:00+00:00,node-exporter,optimiter,prometheus-prometheus-node-exporter-5knrk,0.147009,11.10546875,1.3161623286175676e-05,9699.8944
2025-08-04 06:06:00+00:00,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,118.007061,97.00390625,0.0028494914414570337,3736.3769
2025-08-04 06:06:00+00:00,etcd,kube-system,etcd-neuronet-m1,320.790112,229.54296875,0.03643137325613427,698925.2325500001
2025-08-04 06:06:00+00:00,coredns,kube-system,coredns-5dd5756b68-znnhh,9.281473,34.74609375,0.0006975660341673108,20629.405550000003
2025-08-04 06:06:00+00:00,kepler-exporter,optimiter,kepler-gjk9b,4.540061,118.97265625,0.0002105859725788108,32209.89115
2025-08-04 06:06:00+00:00,kube-apiserver,kube-system,kube-apiserver-neuronet-m1,844.453418,1196.48828125,0.03980732962903833,61362.3717
2025-08-04 06:07:00+00:00,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,12.694708,22.734375,0.00013819704450484458,459.10344999999995
2025-08-04 06:07:00+00:00,kube-flannel,kube-flannel,kube-flannel-ds-mwgcj,31.57379,17.2734375,0.00027639408900968917,38257.97855
2025-08-04 06:07:00+00:00,kube-multus,kube-system,kube-multus-ds-b68jx,0.029586,1.59765625,1.3161623286175676e-05,0.2826
2025-08-04 06:07:00+00:00,kube-proxy,kube-system,kube-proxy-zk9zk,0.223661,33.078125,0.0012503542121866892,6144.68445
2025-08-04 06:07:00+00:00,ovs-cni-marker,cluster-network-addons,ovs-cni-amd64-8h9vl,0.149009,6.65234375,6.580811643087838e-06,44.2198
2025-08-04 06:07:00+00:00,node-exporter,optimiter,prometheus-prometheus-node-exporter-5knrk,0.121401,11.11328125,1.3161623286175676e-05,9700.293
2025-08-04 06:07:00+00:00,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,121.913502,97.0078125,0.002856072253100122,3745.8752499999996
2025-08-04 06:07:00+00:00,etcd,kube-system,etcd-neuronet-m1,325.341729,229.8203125,0.03643137325613427,698952.79305
2025-08-04 06:07:00+00:00,coredns,kube-system,coredns-5dd5756b68-znnhh,5.09698,34.94921875,0.0006975660341673108,20630.1077
2025-08-04 06:07:00+00:00,kepler-exporter,optimiter,kepler-gjk9b,3.960248,121.97265625,0.0002105859725788108,32211.21625
2025-08-04 06:07:00+00:00,kube-apiserver,kube-system,kube-apiserver-neuronet-m1,404.042654,1196.53125,0.03980732962903833,61400.227150000006
2025-08-04 06:08:00+00:00,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,13.249963,22.734375,0.00013819704450484458,460.0896
2025-08-04 06:08:00+00:00,kube-flannel,kube-flannel,kube-flannel-ds-mwgcj,27.620946,17.21875,0.00027639408900968917,38259.1135
2025-08-04 06:08:00+00:00,kube-multus,kube-system,kube-multus-ds-b68jx,0.0,1.59765625,1.3161623286175676e-05,0.2826
2025-08-04 06:08:00+00:00,kube-proxy,kube-system,kube-proxy-zk9zk,2.514691,33.078125,0.0012503542121866892,6144.7167500000005
2025-08-04 06:08:00+00:00,ovs-cni-marker,cluster-network-addons,ovs-cni-amd64-8h9vl,0.127755,6.65234375,6.580811643087838e-06,44.23155
2025-08-04 06:08:00+00:00,node-exporter,optimiter,prometheus-prometheus-node-exporter-5knrk,0.120944,11.2578125,1.3161623286175676e-05,9700.60895
2025-08-04 06:08:00+00:00,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,121.099833,97.0078125,0.0028626530647432097,3755.79045
2025-08-04 06:08:00+00:00,etcd,kube-system,etcd-neuronet-m1,314.113883,230.58203125,0.03643137325613427,698980.566
2025-08-04 06:08:00+00:00,coredns,kube-system,coredns-5dd5756b68-znnhh,6.681245,32.13671875,0.0006975660341673108,20630.768549999997
2025-08-04 06:08:00+00:00,kepler-exporter,optimiter,kepler-gjk9b,18.854757,122.22265625,0.0002105859725788108,32211.94315
2025-08-04 06:08:00+00:00,kube-apiserver,kube-system,kube-apiserver-neuronet-m1,392.759068,1020.8359375,0.03980732962903833,61435.61395
2025-08-04 06:09:00+00:00,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,14.41044,22.734375,0.00013819704450484458,461.18995
2025-08-04 06:09:00+00:00,kube-flannel,kube-flannel,kube-flannel-ds-mwgcj,29.598209,17.21875,0.00027639408900968917,38260.153249999996
2025-08-04 06:09:00+00:00,kube-multus,kube-system,kube-multus-ds-b68jx,0.0,1.59765625,1.3161623286175676e-05,0.2826
2025-08-04 06:09:00+00:00,kube-proxy,kube-system,kube-proxy-zk9zk,1.43783,33.08203125,0.0012503542121866892,6144.8058
2025-08-04 06:09:00+00:00,ovs-cni-marker,cluster-network-addons,ovs-cni-amd64-8h9vl,0.159381,6.65234375,6.580811643087838e-06,44.2744
2025-08-04 06:09:00+00:00,node-exporter,optimiter,prometheus-prometheus-node-exporter-5knrk,0.131561,10.96484375,1.3161623286175676e-05,9700.933599999998
2025-08-04 06:09:00+00:00,etcd,kube-system,etcd-neuronet-m1,311.395138,231.546875,0.03643137325613427,699009.4315000001
2025-08-04 06:09:00+00:00,coredns,kube-system,coredns-5dd5756b68-znnhh,6.577942,32.1328125,0.0006975660341673108,20631.401100000003
2025-08-04 06:09:00+00:00,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,127.63358,97.0078125,0.0028692338763862974,3765.58215
2025-08-04 06:09:00+00:00,kepler-exporter,optimiter,kepler-gjk9b,6.086392,122.21875,0.0002105859725788108,32213.165549999998
2025-08-04 06:09:00+00:00,kube-apiserver,kube-system,kube-apiserver-neuronet-m1,392.865901,1025.2265625,0.03980732962903833,61468.50185
2025-08-04 06:10:00+00:00,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,12.972837,22.734375,0.00013819704450484458,462.2521
2025-08-04 06:10:00+00:00,kube-flannel,kube-flannel,kube-flannel-ds-mwgcj,26.053078,17.3046875,0.00027639408900968917,38261.3073
2025-08-04 06:10:00+00:00,kube-multus,kube-system,kube-multus-ds-b68jx,0.030554,1.59765625,1.3161623286175676e-05,0.2826
2025-08-04 06:10:00+00:00,kube-proxy,kube-system,kube-proxy-zk9zk,0.409895,33.078125,0.0012503542121866892,6144.8567
2025-08-04 06:10:00+00:00,ovs-cni-marker,cluster-network-addons,ovs-cni-amd64-8h9vl,0.104953,6.65234375,6.580811643087838e-06,44.2744
